Artist,Track,Playcount,Album,Duration,Listeners,Tags,Artist URL,Track URL
Karthik,Oka Life,712,Unknown,284000,127,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/oka%2blife
Karthik,Dhimu Dhimu,759,Engeyum Kadhal,329000,126,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/dhimu%2bdhimu
Karthik,Yevvaro,449,Body Guard,277000,124,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/yevvaro
Karthik,Jiya Se Jiya - www.Songs.PK,379,Unknown,0,124,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/jiya%2bse%2bjiya%2b-%2bwww.songs.pk
Karthik,"Unnatundi Gundey - From ""Ninnu Kori""",561,Unknown,0,123,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/unnatundi%2bgundey%2b-%2bfrom%2b%2522ninnu%2bkori%2522
Karthik,Adara Adara Adaragottu,523,Unknown,260000,123,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/adara%2badara%2badaragottu
Karthik,Naan Maati Konden,640,Bangalore Naatkal (Original Motion Picture Soundtrack),185000,122,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/naan%2bmaati%2bkonden
Karthik,"Enthanee Mounam - From ""Vijay Superum Pournamiyum""",436,Unknown,0,119,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/enthanee%2bmounam%2b-%2bfrom%2b%2522vijay%2bsuperum%2bpournamiyum%2522
Karthik,Ninna Leni,511,Premam,140000,118,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/ninna%2bleni
Karthik,Champesindhe,369,Unknown,214000,116,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/champesindhe
Karthik,Closer,187,Closer,210000,116,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/closer
Karthik,Manasa Manninchavamma,431,Aadavari Matalaku... Ardhale Verule!,272000,112,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/manasa%2bmanninchavamma
Karthik,Aankhein,272,I AM (Original Motion Picture Soundtrack),264000,112,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/aankhein
Karthik,"Maya Maya (From ""Baba"")",467,Unknown,348000,111,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/maya%2bmaya%2b%2528from%2b%2522baba%2522%2529
Karthik,Olli Olli,818,Unknown,266000,110,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/olli%2bolli
Karthik,Yemantave,522,Kurradu (Original Motion Picture Soundtrack),217000,108,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/yemantave
Karthik,Pistha Pistha,436,Unknown,0,107,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/pistha%2bpistha
Karthik,Sada Sada,387,Kaavalan,253000,107,[],https://www.last.fm/music/karthik,https://www.last.fm/music/karthik/_/sada%2bsada
